Тарифный план;Особенность;Интернет-трафик;Инетернет-трафик, ед;Минуты;Минуты, ед;Цена;Цена, ед;Ссылка
Шейк 1;Безлимит на соцсети и мессенджеры, 1 ГБ в роуминге;3;гигабайта на все;300;минут во все сети;9,5;рублей в месяц;http://life.com.by/shake/
Шейк 2;Безлимит на соцсети и мессенджеры, 1 ГБ в роуминге;6;гигабайт на все;300;минут во все сети;11,5;рублей в месяц;http://life.com.by/shake/
Шейк 3;Безлимит на соцсети и мессенджеры, 1 ГБ в роуминге;3;гигабайта на все;600;минут во все сети;13,5;рублей в месяц;http://life.com.by/shake/
Шейк 4;Безлимит на соцсети и мессенджеры, 1 ГБ в роуминге;6;гигабайт на все;600;минут во все сети;15,5;рублей в месяц;http://life.com.by/shake/
Старт;;0;;0;;0;рублей в месяц;http://life.com.by/private/voice/start_yo_life/
Семья 1;Безлимит звонков  и смс внутри группы, Безлимит на BiP, Viber, WhatsApp;4;гигабайта;400;минут во все сети;16,5;рублей в месяц;https://family.life.com.by/
Семья 2;Безлимит звонков  и смс внутри группы, Безлимит на BiP, Viber, WhatsApp;8;гигабайтов;800;минут во все сети;26,5;рублей в месяц;https://family.life.com.by/
Семья 3;Безлимит звонков  и смс внутри группы, Безлимит на BiP, Viber, WhatsApp;12;гигабайтов;1200;минут во все сети;36,5;рублей в месяц;https://family.life.com.by/
Мультинет;Безлимит звонков  и смс внутри группы, Безлимит на BiP, Viber, WhatsApp;20;гигабайтов;200;минут во все сети;15,9;рублей в месяц;https://family.life.com.by/
йо1200;Безлимит минут и смс внутри сети;150;мегабайт в сутки;7;минут в сутки на другие сети ;0,4;рублей в сутки;http://life.com.by/private/voice/yo1200/
Голос 1;Безлимит минут внутри сети;0,1;гигабайтов;;;4,2;рублей в месяц;http://life.com.by/golos/
Голос 2;Безлимит минут внутри сети;1;гигабайтов;100;минут в другие сети ;6,9;рублей в месяц;http://life.com.by/golos/
Интернет;;3;гигабайта;;;5,9;рублей в месяц;http://life.com.by/x3/
